sigungu_code,emd_code,FRIN_CG,코드,내용,sigungu_name,emd_name
11010,1101053,85.16,11010.0,종로구,종로구,사직동
11010,1101054,45.41,11010.0,종로구,종로구,삼청동
11010,1101055,27.78,11010.0,종로구,종로구,부암동
11010,1101056,69.59,11010.0,종로구,종로구,평창동
11010,1101057,53.07,11010.0,종로구,종로구,무악동
11010,1101058,72.2,11010.0,종로구,종로구,교남동
11010,1101060,51.56,11010.0,종로구,종로구,가회동
11010,1101061,67.49,11010.0,종로구,종로구,종로1·2·3·4가동
11010,1101063,75.34,11010.0,종로구,종로구,종로5·6가동
11010,1101064,41.87,11010.0,종로구,종로구,이화동
11010,1101067,93.89,11010.0,종로구,종로구,창신제1동
11010,1101069,28.57,11010.0,종로구,종로구,창신제3동
11010,1101070,75.4,11010.0,종로구,종로구,숭인제1동
11010,1101071,88.51,11010.0,종로구,종로구,숭인제2동
11010,1101072,40.31,11010.0,종로구,종로구,청운효자동
11010,1101073,49.16,11010.0,종로구,종로구,혜화동
11020,1102052,45.43,11020.0,중구,중구,소공동
11020,1102054,41.36,11020.0,중구,중구,회현동
11020,1102055,46.08,11020.0,중구,중구,명동
11020,1102057,24.89,11020.0,중구,중구,필동
11020,1102058,37.64,11020.0,중구,중구,장충동
11020,1102059,46.02,11020.0,중구,중구,광희동
11020,1102060,47.64,11020.0,중구,중구,을지로동
11020,1102065,51.71,11020.0,중구,중구,신당제5동
11020,1102067,64.86,11020.0,중구,중구,황학동
11020,1102068,53.76,11020.0,중구,중구,중림동
11020,1102069,57.45,11020.0,중구,중구,신당동
11020,1102070,28.44,11020.0,중구,중구,다산동
11020,1102071,54.73,11020.0,중구,중구,약수동
11020,1102072,58.91,11020.0,중구,중구,청구동
11020,1102073,60.15,11020.0,중구,중구,동화동
11030,1103051,55.2,11030.0,용산구,용산구,후암동
11030,1103052,30.88,11030.0,용산구,용산구,용산2가동
11030,1103053,40.7,11030.0,용산구,용산구,남영동
11030,1103057,70.39,11030.0,용산구,용산구,원효로2동
11030,1103058,53.04,11030.0,용산구,용산구,효창동
11030,1103059,72.84,11030.0,용산구,용산구,용문동
11030,1103063,78.14,11030.0,용산구,용산구,이촌1동
11030,1103064,65.88,11030.0,용산구,용산구,이촌2동
11030,1103065,49.67,11030.0,용산구,용산구,이태원1동
11030,1103066,26.04,11030.0,용산구,용산구,이태원2동
11030,1103069,56.72,11030.0,용산구,용산구,서빙고동
11030,1103070,57.58,11030.0,용산구,용산구,보광동
11030,1103071,40.79,11030.0,용산구,용산구,청파동
11030,1103072,45.97,11030.0,용산구,용산구,원효로1동
11030,1103073,44.81,11030.0,용산구,용산구,한강로동
11030,1103074,33.26,11030.0,용산구,용산구,한남동
11040,1104052,44.01,11040.0,성동구,성동구,왕십리2동
11040,1104054,49.23,11040.0,성동구,성동구,마장동
11040,1104055,37.05,11040.0,성동구,성동구,사근동
11040,1104056,40.7,11040.0,성동구,성동구,행당1동
11040,1104057,48.52,11040.0,성동구,성동구,행당2동
11040,1104058,37.54,11040.0,성동구,성동구,응봉동
11040,1104059,51.98,11040.0,성동구,성동구,금호1가동
11040,1104062,51.33,11040.0,성동구,성동구,금호4가동
11040,1104065,56.51,11040.0,성동구,성동구,성수1가1동
11040,1104066,56.88,11040.0,성동구,성동구,성수1가2동
11040,1104067,77.82,11040.0,성동구,성동구,성수2가1동
11040,1104068,67.74,11040.0,성동구,성동구,성수2가3동
11040,1104069,59.63,11040.0,성동구,성동구,송정동
11040,1104070,34.6,11040.0,성동구,성동구,용답동
11040,1104071,61.0,11040.0,성동구,성동구,왕십리도선동
11040,1104072,57.58,11040.0,성동구,성동구,금호2·3가동
11040,1104073,57.95,11040.0,성동구,성동구,옥수동
11050,1105053,74.68,11050.0,광진구,광진구,화양동
11050,1105054,81.0,11050.0,광진구,광진구,군자동
11050,1105055,78.37,11050.0,광진구,광진구,중곡1동
11050,1105056,87.53,11050.0,광진구,광진구,중곡2동
11050,1105057,87.5,11050.0,광진구,광진구,중곡3동
11050,1105058,69.77,11050.0,광진구,광진구,중곡4동
11050,1105059,48.21,11050.0,광진구,광진구,능동
11050,1105060,90.13,11050.0,광진구,광진구,구의1동
11050,1105061,79.96,11050.0,광진구,광진구,구의2동
11050,1105062,50.43,11050.0,광진구,광진구,구의3동
11050,1105063,70.39,11050.0,광진구,광진구,광장동
11050,1105064,67.22,11050.0,광진구,광진구,자양1동
11050,1105065,65.6,11050.0,광진구,광진구,자양2동
11050,1105066,66.82,11050.0,광진구,광진구,자양3동
11050,1105067,82.13,11050.0,광진구,광진구,자양4동
11060,1106071,70.58,11060.0,동대문구,동대문구,회기동
11060,1106072,89.13,11060.0,동대문구,동대문구,휘경1동
11060,1106073,54.19,11060.0,동대문구,동대문구,휘경2동
11060,1106080,59.98,11060.0,동대문구,동대문구,청량리동
11060,1106081,63.69,11060.0,동대문구,동대문구,용신동
11060,1106082,60.86,11060.0,동대문구,동대문구,제기동
11060,1106083,63.16,11060.0,동대문구,동대문구,전농1동
11060,1106084,35.1,11060.0,동대문구,동대문구,전농2동
11060,1106086,48.07,11060.0,동대문구,동대문구,답십리2동
11060,1106087,37.34,11060.0,동대문구,동대문구,장안1동
11060,1106088,39.51,11060.0,동대문구,동대문구,장안2동
11060,1106089,56.81,11060.0,동대문구,동대문구,이문1동
11060,1106090,43.0,11060.0,동대문구,동대문구,이문2동
11060,1106091,48.47,11060.0,동대문구,동대문구,답십리1동
11070,1107052,68.96,11070.0,중랑구,중랑구,면목2동
11070,1107054,71.88,11070.0,중랑구,중랑구,면목4동
11070,1107055,63.33,11070.0,중랑구,중랑구,면목5동
11070,1107057,23.62,11070.0,중랑구,중랑구,면목7동
11070,1107059,51.89,11070.0,중랑구,중랑구,상봉1동
11070,1107060,87.15,11070.0,중랑구,중랑구,상봉2동
11070,1107061,92.7,11070.0,중랑구,중랑구,중화1동
11070,1107062,82.0,11070.0,중랑구,중랑구,중화2동
11070,1107064,74.1,11070.0,중랑구,중랑구,묵1동
11070,1107065,63.61,11070.0,중랑구,중랑구,묵2동
11070,1107068,65.6,11070.0,중랑구,중랑구,망우제3동
11070,1107069,65.62,11070.0,중랑구,중랑구,신내1동
11070,1107070,48.33,11070.0,중랑구,중랑구,신내2동
11070,1107071,65.06,11070.0,중랑구,중랑구,면목본동
11070,1107072,49.06,11070.0,중랑구,중랑구,면목3·8동
11070,1107073,66.7,11070.0,중랑구,중랑구,망우본동
11080,1108058,66.17,11080.0,성북구,성북구,돈암1동
11080,1108059,42.54,11080.0,성북구,성북구,돈암2동
11080,1108060,47.03,11080.0,성북구,성북구,안암동
11080,1108061,49.56,11080.0,성북구,성북구,보문동
11080,1108062,44.21,11080.0,성북구,성북구,정릉1동
11080,1108063,53.32,11080.0,성북구,성북구,정릉2동
11080,1108064,79.02,11080.0,성북구,성북구,정릉3동
11080,1108065,56.59,11080.0,성북구,성북구,정릉4동
11080,1108066,56.02,11080.0,성북구,성북구,길음1동
11080,1108068,80.92,11080.0,성북구,성북구,길음2동
11080,1108071,55.77,11080.0,성북구,성북구,월곡1동
11080,1108072,74.99,11080.0,성북구,성북구,월곡2동
11080,1108076,66.67,11080.0,성북구,성북구,장위1동
11080,1108077,70.46,11080.0,성북구,성북구,장위2동
11080,1108078,48.39,11080.0,성북구,성북구,장위3동
11080,1108081,44.58,11080.0,성북구,성북구,성북동
11080,1108082,60.02,11080.0,성북구,성북구,삼선동
11080,1108083,52.63,11080.0,성북구,성북구,동선동
11080,1108084,54.77,11080.0,성북구,성북구,종암동
11080,1108085,71.85,11080.0,성북구,성북구,석관동
11090,1109060,57.36,11090.0,강북구,강북구,번1동
11090,1109061,39.43,11090.0,강북구,강북구,번2동
11090,1109062,37.12,11090.0,강북구,강북구,번3동
11090,1109063,35.96,11090.0,강북구,강북구,수유1동
11090,1109064,54.24,11090.0,강북구,강북구,수유2동
11090,1109065,66.57,11090.0,강북구,강북구,수유3동
11090,1109069,50.93,11090.0,강북구,강북구,삼양동
11090,1109070,41.78,11090.0,강북구,강북구,미아동
11090,1109071,50.65,11090.0,강북구,강북구,송중동
11090,1109072,64.49,11090.0,강북구,강북구,송천동
11090,1109073,55.73,11090.0,강북구,강북구,삼각산동
11090,1109074,40.12,11090.0,강북구,강북구,우이동
11090,1109075,69.06,11090.0,강북구,강북구,인수동
11100,1110051,39.32,11100.0,도봉구,도봉구,쌍문1동
11100,1110052,60.55,11100.0,도봉구,도봉구,쌍문2동
11100,1110053,58.32,11100.0,도봉구,도봉구,쌍문3동
11100,1110054,62.44,11100.0,도봉구,도봉구,쌍문4동
11100,1110055,50.68,11100.0,도봉구,도봉구,방학1동
11100,1110056,70.24,11100.0,도봉구,도봉구,방학2동
11100,1110057,48.61,11100.0,도봉구,도봉구,방학3동
11100,1110059,42.23,11100.0,도봉구,도봉구,창1동
11100,1110060,61.58,11100.0,도봉구,도봉구,창2동
11100,1110061,69.33,11100.0,도봉구,도봉구,창3동
11100,1110062,57.62,11100.0,도봉구,도봉구,창4동
11100,1110063,49.6,11100.0,도봉구,도봉구,창5동
