Open_time,Open,High,Low,Close,Volume,quote_av,trades,tb_base_av,tb_quote_av,Symbol
2024-01-01 00:00:00,42526.97,42538.65,42514.01,42514.01,19.23497,817966.8565034,1355,9.22888,392463.9332391,BTCUSDT
2024-01-01 00:01:00,42514.01,42538.14,42514.01,42538.14,13.30236,565785.9903544,594,8.39104,356874.8144444,BTCUSDT
2024-01-01 00:02:00,42538.13,42556.0,42538.13,42554.73,7.60384,323522.6584648,734,5.82329,247759.6982562,BTCUSDT
2024-01-01 00:03:00,42554.73,42556.08,42544.0,42556.08,24.71327,1051587.2085029,1826,6.87789,292656.6376343,BTCUSDT
2024-01-01 00:04:00,42556.08,42580.0,42556.07,42579.99,22.0065,936829.4192986,1199,16.7063,711168.2294699,BTCUSDT
2024-01-01 00:05:00,42579.99,42591.1,42570.63,42588.59,23.67733,1008236.1402685,1683,9.65811,411261.2274511,BTCUSDT
2024-01-01 00:06:00,42588.59,42588.59,42574.8,42574.81,13.90303,592025.2831867,2771,1.61305,68684.733276,BTCUSDT
2024-01-01 00:07:00,42574.81,42574.81,42558.0,42571.18,11.67048,496766.2260963,1044,4.42938,188534.5495978,BTCUSDT
2024-01-01 00:08:00,42571.19,42571.19,42570.58,42570.59,8.21871,349879.0284618,1575,2.5179,107189.7849458,BTCUSDT
2024-01-01 00:09:00,42570.59,42570.59,42561.1,42561.1,9.64696,410639.2839256,729,2.86985,122150.6208742,BTCUSDT
2024-01-01 00:10:00,42561.11,42563.63,42561.1,42563.63,3.8969,165863.5790562,445,1.81215,77130.2177982,BTCUSDT
2024-01-01 00:11:00,42563.62,42588.62,42563.62,42583.9,9.86393,419994.0622537,935,6.92429,294810.6625868,BTCUSDT
2024-01-01 00:12:00,42583.89,42587.01,42583.89,42587.0,4.84223,206214.0579844,525,2.36912,100891.8292239,BTCUSDT
2024-01-01 00:13:00,42587.0,42587.01,42587.0,42587.0,2.14957,91543.7483056,381,1.07156,45634.5364356,BTCUSDT
2024-01-01 00:14:00,42587.0,42588.21,42587.0,42588.21,4.46785,190274.1303766,464,2.87496,122436.7131026,BTCUSDT
2024-01-01 00:15:00,42588.21,42588.21,42588.2,42588.2,5.22044,222329.1595469,458,1.67389,71287.9788369,BTCUSDT
2024-01-01 00:16:00,42588.2,42593.04,42588.2,42593.04,22.77775,970125.9968566,656,19.73521,840546.2950537,BTCUSDT
2024-01-01 00:17:00,42593.04,42595.01,42593.03,42595.01,10.75182,457963.6814067,483,9.37171,399178.0454026,BTCUSDT
2024-01-01 00:18:00,42595.0,42595.01,42564.47,42564.48,28.38242,1208713.1059951,1213,1.68509,71733.1656008,BTCUSDT
2024-01-01 00:19:00,42564.47,42584.85,42564.47,42568.35,13.64636,581000.5533456,725,7.74817,329868.5624379,BTCUSDT
2024-01-01 00:20:00,42568.36,42568.36,42541.1,42541.1,10.58625,450444.3762726,703,1.92921,82079.0533202,BTCUSDT
2024-01-01 00:21:00,42541.1,42549.85,42541.1,42541.1,8.50464,361840.5073674,759,2.77501,118060.9255156,BTCUSDT
2024-01-01 00:22:00,42541.1,42542.17,42531.91,42542.16,5.95684,253385.6846696,573,2.03748,86665.2523903,BTCUSDT
2024-01-01 00:23:00,42542.17,42542.17,42528.4,42528.52,12.79023,544033.8553378,823,5.88202,250196.9665761,BTCUSDT
